ID,Row,Column,Area,BaseLandUseType,CarbonMax,CarbonMin,Cattle,CornYield,DrainageClass,Erosion,FloodFrequency,Group,NitratesPPM,PIndex,Sediment,SoilType,SoybeanYield,StreamNetwork,Subwatershed,Timber,Topography,WatershedNitrogenContribution,StrategicWetland,LandTypeYear1,LandTypeYear2,LandTypeYear3,PrecipYear0,PrecipYear1,PrecipYear2,PrecipYear3
21,2,4,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,2,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
22,2,5,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,1,0.000611621,0,1,14,14,24.58,30.39,34.34,28.18
23,2,6,10,1,18980,486,17.5,2210,30,1.5,10,,1,57.2,1.636904762,A,64.09,0,1,2750,1,0.000611621,0,1,14,14,24.58,30.39,34.34,28.18
24,2,7,10,1,18980,486,17.5,2210,30,1.5,20,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,1,4,4,24.58,30.39,34.34,28.18
25,2,8,10,1,18980,486,17.5,2210,30,1.5,30,,1,57.2,1.636904762,A,64.09,1,1,2750,0,0.000611621,1,1,13,13,24.58,30.39,34.34,28.18
26,2,9,10,1,18980,486,17.5,2210,30,1.5,20,,3,23.6,1.636904762,M,64.09,0,2,2750,0,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
27,2,10,10,1,18980,486,17.5,2210,30,1.5,10,,3,23.6,1.636904762,M,64.09,0,2,2750,0,0.000611621,0,1,1,1,24.58,30.39,34.34,28.18
28,2,11,10,1,18980,486,17.5,2210,30,1.5,0,,3,23.6,1.636904762,M,64.09,0,2,2750,1,0.000611621,0,1,12,12,24.58,30.39,34.34,28.18
29,2,12,10,1,18980,486,17.5,2210,30,1.5,0,,3,23.6,1.636904762,M,64.09,0,2,2750,2,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
30,2,13,10,1,18980,486,17.5,2210,30,1.5,0,,3,23.6,1.636904762,M,64.09,0,2,2750,3,0.000611621,0,1,2,2,24.58,30.39,34.34,28.18
31,2,14,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,2,2750,4,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
32,2,15,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,2,2750,4,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
33,2,16,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,2,2750,4,0.000611621,0,1,10,10,24.58,30.39,34.34,28.18
34,2,17,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,2,2750,5,0.000611621,0,1,4,4,24.58,30.39,34.34,28.18
35,3,1,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,3,2750,4,0.000611621,0,1,14,14,24.58,30.39,34.34,28.18
36,3,2,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,3,2750,3,0.000611621,0,1,12,12,24.58,30.39,34.34,28.18
37,3,3,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,3,2750,3,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
38,3,4,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,3,2750,2,0.000611621,0,1,9,9,24.58,30.39,34.34,28.18
39,3,5,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,3,2750,2,0.000611621,0,1,2,2,24.58,30.39,34.34,28.18
40,3,6,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,3,2750,2,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
41,3,7,10,1,18980,486,17.5,2210,30,1.5,30,,3,23.6,1.636904762,M,64.09,0,3,2750,1,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
42,3,8,10,1,18980,486,17.5,2210,30,1.5,30,,3,23.6,1.636904762,M,64.09,0,3,2750,0,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
43,3,9,10,1,18980,486,17.5,2210,30,1.5,40,,3,23.6,1.636904762,M,64.09,1,3,2750,0,0.000611621,1,1,9,9,24.58,30.39,34.34,28.18
44,3,10,10,1,18980,486,17.5,2210,30,1.5,20,,1,57.2,1.116071429,N,64.09,0,4,2750,0,0.000611621,0,1,5,5,24.58,30.39,34.34,28.18
45,3,11,10,1,18980,486,17.5,2210,30,1.5,20,,1,57.2,1.116071429,N,64.09,0,4,2750,0,0.000611621,0,1,15,15,24.58,30.39,34.34,28.18
46,3,12,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,4,2750,1,0.000611621,0,1,9,9,24.58,30.39,34.34,28.18
47,3,13,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,4,2750,3,0.000611621,0,1,11,11,24.58,30.39,34.34,28.18
48,3,14,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,4,2750,3,0.000611621,0,1,9,9,24.58,30.39,34.34,28.18
49,3,15,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,4,2750,4,0.000611621,0,1,12,12,24.58,30.39,34.34,28.18
50,3,16,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.116071429,N,64.09,0,4,2750,4,0.000611621,0,1,10,10,24.58,30.39,34.34,28.18
51,3,17,10,1,18980,486,17.5,2280,30,1.5,0, ,1,57.2,1.116071429,N,66.12,0,4,1750,3,0.000203874,0,1,13,13,24.58,30.39,34.34,28.18
52,4,1,10,1,18980,486,17.5,2280,30,1.5,0,,1,57.2,1.636904762,A,66.12,0,3,1750,4,0.000203874,0,1,1,1,24.58,30.39,34.34,28.18
53,4,2,10,1,18980,486,17.5,2280,30,1.5,0,,1,57.2,1.636904762,A,66.12,0,3,1750,4,0.000203874,0,1,9,9,24.58,30.39,34.34,28.18
54,4,3,10,1,18980,486,17.5,2280,30,1.5,0,,1,57.2,1.636904762,A,66.12,0,3,1750,3,0.000203874,0,1,2,2,24.58,30.39,34.34,28.18
55,4,4,10,1,18980,486,17.5,2280,30,1.5,0,,1,57.2,1.636904762,A,66.12,0,3,1750,2,0.000203874,0,1,2,2,24.58,30.39,34.34,28.18
56,4,5,10,1,18980,486,17.5,2280,30,1.5,0,,3,23.6,1.636904762,M,66.12,0,3,1750,1,0.000203874,0,1,5,5,24.58,30.39,34.34,28.18
57,4,6,10,1,18980,486,17.5,2280,30,1.5,0,,3,23.6,1.636904762,M,66.12,0,3,1750,1,0.000203874,0,1,7,7,24.58,30.39,34.34,28.18
58,4,7,10,1,18980,486,17.5,2350,30,1.5,10, ,3,23.6,1.116071429,Q,68.15,0,3,2750,1,0.000611621,0,1,2,2,24.58,30.39,34.34,28.18
59,4,8,10,1,18980,486,17.5,2350,30,1.5,20,,3,23.6,1.116071429,Q,68.15,0,3,2750,0,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
60,4,9,10,1,18980,486,17.5,2350,30,1.5,30,,3,23.6,1.116071429,Q,68.15,0,3,2750,0,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
61,4,10,10,1,18980,486,17.5,2350,30,1.5,30,,3,23.6,1.116071429,Q,68.15,0,3,2750,0,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
62,4,11,10,1,18980,486,17.5,2350,30,1.5,30, ,3,23.6,3.050595238,G,68.15,0,4,2450,0,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
63,4,12,10,1,18980,486,17.5,2350,30,1.5,20,,3,23.6,3.050595238,G,68.15,0,4,2450,0,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
64,4,13,10,1,18980,486,17.5,2350,30,1.5,10,,3,23.6,3.050595238,G,68.15,0,4,2450,1,0.000611621,0,1,5,5,24.58,30.39,34.34,28.18
65,4,14,10,1,18980,486,17.5,2350,30,1.5,0,,3,23.6,3.050595238,G,68.15,0,4,2450,2,0.000611621,0,1,1,1,24.58,30.39,34.34,28.18
66,4,15,10,1,18980,486,17.5,2350,30,1.5,0,,3,23.6,3.050595238,G,68.15,0,4,2450,2,0.000611621,0,1,4,4,24.58,30.39,34.34,28.18
67,4,16,10,1,18980,486,17.5,2350,30,1.5,0,,1,57.2,1.116071429,N,68.15,0,4,2450,3,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
68,4,17,10,1,18980,486,17.5,2350,30,1.5,0,,1,57.2,1.116071429,N,68.15,0,4,2450,3,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
69,5,1,10,1,18980,486,17.5,2350,30,1.5,0,,1,57.2,1.636904762,A,68.15,0,5,2450,5,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
70,5,2,10,1,18980,486,17.5,2350,30,1.5,0,,1,57.2,1.636904762,A,68.15,0,5,2450,4,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
71,5,3,10,1,18980,486,17.5,2350,30,1.5,0,,3,23.6,1.116071429,Q,68.15,0,5,2450,4,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
72,5,4,10,1,18980,486,17.5,2350,30,1.5,0,,3,23.6,1.116071429,Q,68.15,0,5,2450,3,0.000611621,0,1,11,11,24.58,30.39,34.34,28.18
73,5,5,10,1,18980,486,17.5,2140,30,1.5,0, ,1,57.2,0.595238095,C,62.06,0,5,850,3,0.000203874,0,1,8,8,24.58,30.39,34.34,28.18
74,5,6,10,1,18980,486,17.5,2140,30,1.5,0,,1,57.2,0.595238095,C,62.06,0,5,850,3,0.000203874,0,1,3,3,24.58,30.39,34.34,28.18
75,5,7,10,1,18980,486,17.5,2140,30,1.5,0,,3,23.6,1.116071429,Q,62.06,0,5,850,2,0.000203874,0,1,1,1,24.58,30.39,34.34,28.18
76,5,8,10,1,18980,486,17.5,2140,30,1.5,0,,3,23.6,1.116071429,Q,62.06,0,5,850,2,0.000203874,0,1,2,2,24.58,30.39,34.34,28.18
77,5,9,10,1,18980,486,17.5,2140,30,1.5,0,,3,23.6,1.116071429,Q,62.06,0,5,850,1,0.000203874,0,1,4,4,24.58,30.39,34.34,28.18
78,5,10,10,1,18980,486,17.5,2140,30,1.5,30,,3,23.6,1.116071429,Q,62.06,0,5,850,0,0.000203874,0,1,4,4,24.58,30.39,34.34,28.18
79,5,11,10,1,18980,486,17.5,2140,30,1.5,40,,3,23.6,3.050595238,G,62.06,1,5,850,0,0.000203874,1,1,2,2,24.58,30.39,34.34,28.18
80,5,12,10,1,18980,486,17.5,2140,30,1.5,30,,3,23.6,3.050595238,G,62.06,0,6,850,0,0.000203874,0,1,9,9,24.58,30.39,34.34,28.18
81,5,13,10,1,18980,486,17.5,2140,30,1.5,20,,3,23.6,3.050595238,G,62.06,0,6,850,1,0.000203874,0,1,5,5,24.58,30.39,34.34,28.18
82,5,14,10,1,18980,486,17.5,2140,30,1.5,0,,3,23.6,3.050595238,G,62.06,0,6,850,1,0.000203874,0,1,10,10,24.58,30.39,34.34,28.18
83,5,15,10,1,18980,486,17.5,2140,30,1.5,0,,3,23.6,3.050595238,G,62.06,0,6,850,1,0.000203874,0,1,9,9,24.58,30.39,34.34,28.18
84,5,16,10,1,18980,486,17.5,2060,30,1.5,0, ,3,23.6,2.901785714,D,59.74,0,6,2750,2,0.000611621,0,1,9,9,24.58,30.39,34.34,28.18
85,5,17,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,6,2750,2,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
86,6,1,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,5,2750,5,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
87,6,2,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,5,2750,5,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
88,6,3,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,5,2750,4,0.000611621,0,1,12,12,24.58,30.39,34.34,28.18
89,6,4,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,5,2750,4,0.000611621,0,1,4,4,24.58,30.39,34.34,28.18
90,6,5,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,5,2750,3,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
91,6,6,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,5,2750,3,0.000611621,0,1,2,2,24.58,30.39,34.34,28.18
92,6,7,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,5,2750,2,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
93,6,8,10,1,18980,486,17.5,2060,30,1.5,10,,3,23.6,1.116071429,Q,59.74,0,5,2750,2,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
94,6,9,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,1.116071429,Q,59.74,0,5,2750,1,0.000611621,0,1,1,1,24.58,30.39,34.34,28.18
95,6,10,10,1,18980,486,17.5,2060,30,1.5,40,,3,23.6,3.050595238,G,59.74,0,5,2750,0,0.000611621,1,1,1,1,24.58,30.39,34.34,28.18
96,6,11,10,1,18980,486,17.5,2060,30,1.5,50,,3,23.6,3.050595238,G,59.74,0,5,2750,0,0.000611621,1,1,14,14,24.58,30.39,34.34,28.18
97,6,12,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,3.050595238,G,59.74,0,6,2750,0,0.000611621,0,1,14,14,24.58,30.39,34.34,28.18
98,6,13,10,1,18980,486,17.5,2060,30,1.5,10,,3,23.6,3.050595238,G,59.74,0,6,2750,1,0.000611621,0,1,1,1,24.58,30.39,34.34,28.18
99,6,14,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,6,2750,2,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
100,6,15,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,6,2750,1,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
101,6,16,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,6,2750,2,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
102,6,17,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,6,2750,3,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
103,7,1,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,5,0.000611621,0,1,2,2,24.58,30.39,34.34,28.18
104,7,2,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,4,0.000611621,0,1,9,9,24.58,30.39,34.34,28.18
105,7,3,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,4,0.000611621,0,1,10,10,24.58,30.39,34.34,28.18
106,7,4,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,3,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
107,7,5,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,7,2750,4,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
108,7,6,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,7,2750,2,0.000611621,0,1,11,11,24.58,30.39,34.34,28.18
109,7,7,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,2,0.000611621,0,1,4,4,24.58,30.39,34.34,28.18
110,7,8,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,2,0.000611621,0,1,11,11,24.58,30.39,34.34,28.18
111,7,9,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,1,0.000611621,0,1,5,5,24.58,30.39,34.34,28.18
112,7,10,10,1,18980,486,17.5,2060,30,1.5,20,,3,23.6,1.116071429,Q,59.74,0,7,2750,0,0.000611621,0,1,10,10,24.58,30.39,34.34,28.18
113,7,11,10,1,18980,486,17.5,2060,30,1.5,40,,3,23.6,3.050595238,G,59.74,1,7,2750,0,0.000611621,1,1,7,7,24.58,30.39,34.34,28.18
114,7,12,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,2.901785714,D,59.74,0,7,2750,0,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
115,7,13,10,1,18980,486,17.5,2060,30,1.5,20,,3,23.6,2.901785714,D,59.74,0,8,2750,1,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
116,7,14,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,8,2750,2,0.000611621,0,1,2,2,24.58,30.39,34.34,28.18
117,7,15,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,8,2750,3,0.000611621,0,1,9,9,24.58,30.39,34.34,28.18
118,7,16,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,8,2750,3,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
119,7,17,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,8,2750,3,0.000611621,0,1,15,15,24.58,30.39,34.34,28.18
120,8,1,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,5,0.000611621,0,1,12,12,24.58,30.39,34.34,28.18
121,8,2,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,4,0.000611621,0,1,10,10,24.58,30.39,34.34,28.18
122,8,3,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,7,2750,4,0.000611621,0,1,1,1,24.58,30.39,34.34,28.18
123,8,4,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,7,2750,4,0.000611621,0,1,15,15,24.58,30.39,34.34,28.18
124,8,5,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,7,2750,5,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
125,8,6,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,3,0.000611621,0,1,14,14,24.58,30.39,34.34,28.18
126,8,7,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,7,2750,2,0.000611621,0,1,2,2,24.58,30.39,34.34,28.18
127,8,8,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,1.116071429,Q,59.74,0,7,2750,2,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
128,8,9,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,3.050595238,G,59.74,0,7,2750,1,0.000611621,0,1,14,14,24.58,30.39,34.34,28.18
129,8,10,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,3.050595238,G,59.74,0,7,2750,0,0.000611621,0,1,15,15,24.58,30.39,34.34,28.18
130,8,11,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,3.050595238,G,59.74,0,8,2750,0,0.000611621,0,1,15,15,24.58,30.39,34.34,28.18
131,8,12,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,3.050595238,G,59.74,0,8,2750,0,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
132,8,13,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,3.050595238,G,59.74,0,8,2750,2,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
133,8,14,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,8,2750,2,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
134,8,15,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,8,2750,3,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
135,8,16,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,8,2750,3,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
136,8,17,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,2.901785714,D,59.74,0,8,2750,3,0.000611621,0,1,11,11,24.58,30.39,34.34,28.18
137,9,1,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,9,2750,5,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
138,9,2,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,9,2750,5,0.000611621,0,1,7,7,24.58,30.39,34.34,28.18
139,9,3,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,9,2750,5,0.000611621,0,1,11,11,24.58,30.39,34.34,28.18
140,9,4,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,9,2750,4,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
141,9,5,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,9,2750,4,0.000611621,0,1,15,15,24.58,30.39,34.34,28.18
142,9,6,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,C,59.74,0,9,2750,2,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
143,9,7,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,Q,59.74,0,9,2750,2,0.000611621,0,1,11,11,24.58,30.39,34.34,28.18
144,9,8,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,3.050595238,G,59.74,0,9,2750,1,0.000611621,0,1,11,11,24.58,30.39,34.34,28.18
145,9,9,10,1,18980,486,17.5,2060,30,1.5,40,,3,23.6,3.050595238,G,59.74,0,9,2750,0,0.000611621,0,1,2,2,24.58,30.39,34.34,28.18
146,9,10,10,1,18980,486,17.5,2060,30,1.5,50,,3,23.6,3.050595238,G,59.74,0,10,2750,0,0.000611621,0,1,3,3,24.58,30.39,34.34,28.18
147,9,11,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,3.050595238,G,59.74,0,10,2750,0,0.000611621,0,1,6,6,24.58,30.39,34.34,28.18
148,9,12,10,1,18980,486,17.5,2060,30,1.5,30,,3,23.6,3.050595238,G,59.74,0,10,2750,1,0.000611621,0,1,4,4,24.58,30.39,34.34,28.18
149,9,13,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,3.050595238,G,59.74,0,10,2750,2,0.000611621,0,1,1,1,24.58,30.39,34.34,28.18
150,9,14,10,1,18980,486,17.5,2000,30,1.5,0, ,3,23.6,1.116071429,K,58,0,10,1300,2,0.000611621,0,1,10,10,24.58,30.39,34.34,28.18
151,9,15,10,1,18980,486,17.5,2000,30,1.5,0,,3,23.6,1.116071429,K,58,0,10,1300,3,0.000611621,0,1,11,11,24.58,30.39,34.34,28.18
152,9,16,10,1,18980,486,17.5,2000,30,1.5,0,,3,23.6,2.901785714,D,58,0,10,1300,4,0.000611621,0,1,13,13,24.58,30.39,34.34,28.18
153,9,17,10,1,18980,486,17.5,2000,30,1.5,0,,3,23.6,2.901785714,D,58,0,10,1300,4,0.000611621,0,1,8,8,24.58,30.39,34.34,28.18
154,10,1,10,1,18980,486,17.5,2000,30,1.5,0,,1,57.2,0.595238095,C,58,0,9,1300,4,0.000611621,0,1,1,1,24.58,30.39,34.34,28.18
